,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,
,,,North America,,"33,633,677","+3,024","761,890",+469,"23,389,486","+6,239","9,482,301","21,083",,,,,,North America,,,,,
,,,Asia,,"25,092,940","+19,244","399,365",+347,"23,594,231","+20,364","1,099,344","21,895",,,,,,Asia,,,,,
,,,South America,,"18,048,525",+757,"468,234",+17,"16,325,612",+620,"1,254,679","18,969",,,,,,South America,,,,,
,,,Europe,,"34,298,085","+46,775","817,196","+1,248","23,945,780","+41,622","9,535,109","25,841",,,,,,Europe,,,,,
,,,Africa,,"3,935,446","+1,238","104,205",+21,"3,494,990","+2,796","336,251","2,526",,,,,,Africa,,,,,
,,,Oceania,,"51,300",+15,"1,090",,"34,293",+7,"15,917",2,,,,,,Australia/Oceania,,,,,
,,,,,721,,15,,706,,0,0,,,,,,,,,,,
,,World,"115,060,694","+71,053","2,551,995","+2,102","90,785,098","+71,648","21,723,601","90,316","14,761",327.4,,,,All,,,,,
,58,Denmark,"211,692",,"2,365 ",,"202,517",,"6,810",44,"36,462",407,"17,154,704","2,954,760","5,805,786 ",Europe,"272,4550",
,59,Costa Rica,"205,086",,"2,812 ",,"181,851",,"20,423",147,"40,017",549,"690,013","134,636","5,125,013 ",North America,"251,8237",
,60,Lithuania,"199,825",+426,"3,263 ",+7,"185,770",+922,"10,792",153,"74,097","1,210","2,132,358","790,699","2,696,802 ",Europe,138261,
,61,Greece,"192,270",,"6,534 ",,"165,718",,"20,018",406,"18,507",629,"5,253,798","505,707","10,389,020 ",Europe,"541,5902",
,62,Kuwait,"192,031",,"1,085 ",,"180,155",,"10,791",157,"44,530",252,"1,792,041","415,556","4,312,396 ",Asia,"223,9752",
,63,Slovenia,"191,056",+729,"3,854 ",,"175,210",,"11,992",91,"91,892","1,854","918,299","441,675","2,079,129 ",Europe,115392,
,64,Moldova,"186,447",,"3,975 ",,"166,833",,"15,639",307,"46,291",987,"719,950","178,750","4,027,703 ",Europe,"221,0136",
,65,Palestine,"185,336",,"2,058  ",,"167,744",,"15,534",116,"35,782",397,"1,183,235","228,442","5,179,587 ",Asia,"282,5174",
,66,Egypt,"183,010",,"10,736 ",,"141,347",,"30,927",90,"1,766",104,"1,000,000","9,652","103,609,799 ",Africa,"5669,651104",
,67,Guatemala,"174,653",,"6,402 ",,"161,816",,"6,435",5,"9,631",353,"918,648","50,657","18,134,600 ",North America,"1042,83320",
,68,Armenia,"172,456",+240,"3,200 ",+5,"163,738",+227,"5,518",,"58,126","1,079","736,590","248,266","2,966,934 ",Asia,179274,
,69,Honduras,"170,985",+681,"4,174 ",+23,"66,709",+196,"100,102",406,"17,083",417,"449,997","44,960","10,008,866 ",North America,"592,39822",
,70,Qatar,"164,600",+463,259 ,,"154,420",+359,"9,921",106,"58,622",92,"1,550,694","552,280","2,807,805 ",Asia,"1710,8412",
,71,Paraguay,"160,448",,"3,198 ",,"134,392",,"22,858",262,"22,313",445,"755,317","105,042","7,190,634 ",South America,"452,24810",
,72,Ethiopia,"159,972",,"2,373 ",,"135,177",,"22,422",375,"1,369",20,"2,140,427","18,319","116,839,161 ",Africa,"73049,23755",
,73,Nigeria,"156,017",,"1,915 ",,"133,904",,"20,198",10,745,9,"1,544,008","7,370","209,504,660 ",Africa,"1,343109,402136",
